name,artist,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,rating
Superman That,Injury Reserve,44,0.248,0.492,160062,0.744,9.42e-06,0,0.23600000000000002,-9.371,1,0.359,110.142,0.533,1
Don't Shut Me Down,ABBA,63,0.105,0.719,238800,0.604,0.0,0,0.107,-7.395,1,0.0281,99.993,0.5650000000000001,1
The 90s,FINNEAS,57,0.387,0.796,203258,0.334,0.0,5,0.20600000000000002,-11.626,1,0.17200000000000001,135.01,0.278,1
Point and Kill,Little Simz,57,0.421,0.9440000000000001,185600,0.5730000000000001,0.0015,7,0.133,-9.667,1,0.106,98.022,0.804,1
Plant Thief,Deerhoof,23,0.0011,0.182,193124,0.877,0.316,9,0.17400000000000002,-5.16,0,0.0645,178.187,0.483,1
Vexed,The Bug,27,0.124,0.444,232105,0.979,0.011600000000000001,1,0.324,-9.434,0,0.501,140.069,0.053200000000000004,1
Fire in the Sky,Anderson .Paak,66,0.08370000000000001,0.668,201787,0.856,0.0446,1,0.096,-6.386,0,0.0453,79.008,0.737,0
Excess,Perturbator,50,7.26e-05,0.556,277375,0.68,0.882,1,0.09580000000000001,-7.036,0,0.030100000000000002,100.008,0.151,0
Blue Notes 2,Meek Mill,59,0.152,0.748,230400,0.591,0.0,2,0.64,-6.234,0,0.331,74.958,0.192,0
Bow,Zeal,42,0.404,0.668,133787,0.678,0.000212,11,0.10300000000000001,-3.372,1,0.0805,147.991,0.524,0
Good Ones,Charli XCX,2,0.07200000000000001,0.764,136614,0.672,3.3199999999999996e-06,7,0.0806,-5.947,0,0.029300000000000003,129.049,0.789,0
You Can Do It,Caribou,43,0.753,0.6960000000000001,228807,0.657,0.124,2,0.116,-9.531,1,0.0499,128.044,0.895,0
Lover Boy,The Front Bottoms,43,0.0659,0.59,190440,0.761,6.889999999999999e-06,0,0.34400000000000003,-4.266,1,0.0426,130.139,0.363,-1
Turn It Up,Oliver Tree,58,0.0716,0.849,129621,0.764,0.0064800000000000005,11,0.10400000000000001,-6.42,1,0.0342,130.007,0.906,-1
Way 2 Sexy,Drake,83,0.000619,0.803,257605,0.597,4.5e-06,11,0.323,-6.035,0,0.14100000000000001,136.008,0.331,-1
The Game,Denzel Curry,51,0.0167,0.736,164939,0.71,0.0,7,0.133,-6.038,1,0.317,82.451,0.5720000000000001,1
Tick Tock,Young Thug,54,0.007890000000000001,0.9440000000000001,159240,0.6930000000000001,0.0,11,0.164,-8.605,0,0.266,134.061,0.626,1
Peach,Future Islands,52,0.195,0.683,194097,0.791,0.019200000000000002,8,0.0971,-8.991,1,0.0395,160.061,0.764,1
Never Enough,Disclosure,46,0.189,0.833,283353,0.9550000000000001,0.652,3,0.0893,-6.6850000000000005,0,0.09630000000000001,128.018,0.593,1
Unlock It,Abra,59,0.0506,0.734,143893,0.87,0.0,3,0.133,-2.946,1,0.0383,155.971,0.899,1
Sierra Nights,Kevin Abstract,58,0.0854,0.6960000000000001,263720,0.635,1.15e-05,1,0.107,-5.854,1,0.07060000000000001,147.901,0.397,0
Kanpai,Alice Longyu Gao,32,0.0131,0.716,165047,0.865,0.34600000000000003,1,0.0297,-4.796,1,0.0728,159.977,0.921,0
Vortex,Nick Cave and the Bad Seeds,37,0.0849,0.38,278147,0.606,0.00776,4,0.0731,-8.372,0,0.040600000000000004,174.447,0.421,0
Visiting Hours,Ed Sheeran,73,0.77,0.47100000000000003,215507,0.396,0.0,8,0.0729,-6.654,1,0.033600000000000005,149.609,0.263,0
More,Low,35,0.0429,0.243,130819,0.47000000000000003,0.636,2,0.652,-0.931,1,0.0466,140.307,0.28300000000000003,0
Summer,Jaden Smith,72,0.135,0.5690000000000001,270960,0.86,0.0,9,0.153,-4.116,1,0.043000000000000003,90.937,0.289,-1
Stratego,Iron Maiden,39,0.000144,0.47300000000000003,299946,0.968,0.0347,4,0.612,-7.297,0,0.06420000000000001,138.054,0.465,-1
Mood Ring,Lorde,1,0.422,0.683,225863,0.47800000000000004,1.17e-05,5,0.24,-10.435,1,0.07440000000000001,95.011,0.373,-1
Rumors,Lizzo,74,0.13,0.8270000000000001,172833,0.731,0.0,4,0.418,-5.524,0,0.088,118.992,0.607,1
Just for Me,PinkPantheress,69,0.653,0.796,115801,0.625,0.0034800000000000005,0,0.187,-7.218,1,0.0645,133.035,0.641,1
Secrets (Your Fire),Magdalena Bay,56,0.00177,0.6910000000000001,245897,0.8270000000000001,0.637,10,0.41600000000000004,-5.573,0,0.0402,107.997,0.8260000000000001,1
Little Things,Big Thief,54,0.256,0.34,344823,0.924,0.925,1,0.248,-5.077,1,0.0347,96.104,0.736,1
Before You Gotta Go,Courtney Barnett,50,0.153,0.661,225633,0.6950000000000001,0.67,7,0.108,-10.499,1,0.031900000000000005,141.95,0.262,1
Back to Oz,Sufjan Stevens,54,0.528,0.438,252053,0.40800000000000003,0.00118,8,0.131,-10.461,0,0.031400000000000004,170.068,0.441,1
Real Pain,Indigo De Souza,44,0.00092,0.211,290097,0.499,0.17200000000000001,11,0.117,-9.084,1,0.033800000000000004,180.14,0.169,1
Knees,Injury Reserve,47,0.0611,0.398,303806,0.551,1.3400000000000002e-05,10,0.117,-11.852,0,0.202,83.1,0.327,1
Tango,Onyx Collective,41,0.278,0.712,304839,0.5710000000000001,2.3700000000000003e-05,7,0.0999,-5.421,0,0.0718,93.015,0.499,1
True,Danny Elfman,30,0.231,0.466,264880,0.782,0.0,6,0.233,-5.117,1,0.0364,69.997,0.246,0
Inferno,Bella Poarch,76,0.0766,0.8200000000000001,133134,0.611,2.5e-05,9,0.0684,-5.02,0,0.122,127.883,0.637,0
Before I Go,Kodak Black,55,0.029900000000000003,0.518,204461,0.715,0.0,7,0.519,-4.117,0,0.116,160.094,0.194,0
Okay Yeah!,Coi Leray,39,0.186,0.852,100773,0.463,0.0,4,0.108,-8.99,0,0.375,155.006,0.327,0
papercuts,Machine Gun Kelly,71,0.0719,0.587,181039,0.725,1.11e-06,4,0.38,-5.327,1,0.0562,140.015,0.441,-1
Mimi,Big Red Machine,41,0.786,0.731,179733,0.779,0.00248,11,0.08030000000000001,-7.432,1,0.0362,122.548,0.5660000000000001,1
Magnolia,Adia Victoria,46,0.562,0.626,208547,0.398,9.2e-05,0,0.108,-10.749,1,0.0426,82.002,0.254,1
Take My Breath,The Weeknd,75,0.0128,0.6980000000000001,339023,0.769,0.0016600000000000002,8,0.23800000000000002,-7.154,1,0.0368,121.02,0.354,1
MORE JOY,Duran Duran,33,0.0171,0.5720000000000001,219388,0.9470000000000001,0.231,7,0.887,-3.516,0,0.047400000000000005,131.001,0.891,1
Outside,Joey Purp,29,0.000464,0.909,115385,0.852,0.00304,1,0.146,-7.69,1,0.0753,104.066,0.161,1
Erase,Zeal,40,0.00118,0.54,241960,0.925,0.432,4,0.116,-5.15,0,0.0732,105.061,0.189,1
Industrial Messiah Complex,Full of Hell,27,3.7899999999999997e-06,0.23600000000000002,87955,0.85,0.487,10,0.509,-4.5120000000000005,0,0.08600000000000001,108.001,0.332,0
That Life,Unknown Mortal Orchestra,60,0.0502,0.875,217373,0.708,2.4900000000000006e-05,3,0.0458,-4.419,1,0.075,123.287,0.866,0
Coastin',Victoria Monét,65,0.0264,0.807,175319,0.481,1.28e-06,8,0.112,-7.362,0,0.0713,91.005,0.748,0
Buss,Rico Nasty,38,0.00013000000000000002,0.848,165565,0.674,0.0,8,0.158,-4.507,1,0.221,140.005,0.341,0
Cruising,black midi,32,0.754,0.447,387000,0.226,0.894,1,0.112,-14.105,1,0.029300000000000003,121.939,0.0591,0
Got 'Em,Vince Staples,22,0.0748,0.786,174973,0.598,0.00198,10,0.09040000000000001,-7.118,0,0.124,89.015,0.17500000000000002,0
Walk the Beat,Tierra Whack,50,0.6900000000000001,0.8280000000000001,175508,0.5730000000000001,0.09630000000000001,7,0.08510000000000001,-11.513,1,0.0884,115.046,0.316,-1
Highway to Hell,Tom Morello,45,0.0038,0.552,211617,0.892,0.0,10,0.07490000000000001,-3.277,1,0.109,116.046,0.354,-1
In Blur,Deafheaven,42,0.014100000000000001,0.343,329853,0.964,0.6940000000000001,1,0.376,-4.044,0,0.0507,168.021,0.438,-1
Resentment,Madi Diaz,53,0.883,0.554,173427,0.122,0.0,11,0.107,-12.692,1,0.0614,166.355,0.381,1
We Go on Walks,Petey,38,0.925,0.5740000000000001,165293,0.333,0.386,5,0.0976,-14.898,1,0.0318,150.029,0.193,1
Golden,Zella Day,50,0.0111,0.726,201653,0.761,1.35e-06,5,0.221,-5.587,1,0.0307,99.985,0.848,1
Liquor Store,Remi Wolf,57,0.0329,0.741,172057,0.666,1.8900000000000002e-05,1,0.044,-5.936,0,0.0448,91.044,0.552,1
Security,Amyl and the Sniffers,39,0.0032800000000000004,0.48,227600,0.899,0.0,10,0.09530000000000001,-3.018,0,0.058100000000000006,93.505,0.302,1
Model Village,IDLES,37,0.00442,0.459,235826,0.9420000000000001,0.0,6,0.08950000000000001,-3.037,0,0.0762,91.006,0.5,1
Louie Bag,Yebba,52,0.627,0.725,223000,0.614,0.20400000000000001,1,0.113,-7.98,0,0.1,141.213,0.655,1
edamame,bbno$,80,0.023,0.8150000000000001,133707,0.848,0.00016199999999999998,4,0.026500000000000003,-4.704,0,0.115,106.032,0.684,1
happy,Dorian Electra,23,0.723,0.737,158015,0.23500000000000001,0.0056,5,0.259,-15.887,0,0.08650000000000001,75.016,0.632,1
Blackout,Turnstile,61,0.000881,0.301,173280,0.807,0.112,6,0.0849,-6.258,1,0.0695,84.051,0.595,1
Safety Dance,Angel Olsen,36,0.294,0.5720000000000001,231067,0.648,0.5740000000000001,7,0.136,-6.599,1,0.0263,111.971,0.362,0
Drug Zone,The Alchemist,33,0.732,0.562,175613,0.645,2.96e-05,10,0.0954,-10.105,0,0.378,88.428,0.629,0
Flux,Poppy,45,0.000128,0.562,300647,0.966,0.531,5,0.35100000000000003,-5.825,0,0.228,128.018,0.39,0
Locust Laced,Sleigh Bells,40,0.0021000000000000003,0.47700000000000004,150947,0.757,3.15e-06,1,0.427,-5.859,0,0.0751,174.063,0.665,0
Underrated Popstar,Alice Longyu Gao,39,0.0013700000000000001,0.652,131707,0.546,0.030100000000000002,9,0.0809,-8.362,0,0.223,163.889,0.552,0
Industry Baby,Lil Nas X,90,0.020300000000000002,0.736,212000,0.704,0.0,3,0.050100000000000006,-7.409,0,0.061500000000000006,149.995,0.894,1
Inside Is Out There,Darkside,28,0.0188,0.626,516000,0.893,0.8290000000000001,5,0.0954,-10.202,0,0.0425,176.03,0.231,1
Pulp,Lime Garden,37,0.00568,0.665,197193,0.769,0.0393,2,0.355,-4.729,1,0.0391,128.669,0.4,1
Say What You Will,James Blake,53,0.964,0.489,280994,0.361,0.0059,1,0.177,-10.63,1,0.037200000000000004,78.156,0.241,1
Hold U,Indigo De Souza,52,0.00693,0.838,256665,0.402,0.00417,9,0.067,-11.474,0,0.0333,107.019,0.595,1
Phoenix,Big Red Machine,58,0.437,0.481,255533,0.67,0.000146,5,0.079,-7.135,1,0.041,137.838,0.549,0
Disappearing,Low,35,0.14400000000000002,0.20800000000000002,212022,0.717,0.0814,5,0.529,-5.456,1,0.0692,129.37,0.0839,0
u v v p,illuminati hotties,43,0.0021100000000000003,0.327,284810,0.637,0.00116,7,0.10400000000000001,-6.624,1,0.0359,129.976,0.354,0
Call Me,Logic,52,0.271,0.714,210177,0.621,0.00393,11,0.07830000000000001,-10.566,0,0.244,154.178,0.627,0
Hot Summer,Prince,41,0.0363,0.8300000000000001,212947,0.548,6.83e-05,0,0.184,-11.132,1,0.050300000000000004,127.508,0.98,0
Coloratura,Coldplay,64,0.652,0.289,618960,0.263,0.155,2,0.10300000000000001,-10.88,1,0.0297,133.585,0.0736,0
Over the Top,Smiley,72,0.049300000000000004,0.833,153406,0.498,0.0,10,0.11900000000000001,-5.196,0,0.117,139.928,0.259,0
the lakes (original version),Taylor Swift,61,0.717,0.197,227203,0.406,0.00036199999999999996,2,0.293,-10.904,1,0.061900000000000004,90.053,0.251,0
Department of Corrections,Deerhoof,24,0.032100000000000004,0.461,201794,0.855,0.000314,1,0.11,-6.751,1,0.0608,97.856,0.505,0
Lifetime,Swedish House Mafia,60,0.0205,0.584,186805,0.718,2.99e-06,11,0.906,-7.824,0,0.126,99.841,0.155,0
Living Proof,The War on Drugs,55,0.892,0.604,293867,0.157,0.169,9,0.113,-14.174,1,0.0315,116.032,0.126,0
You Should Be Dancing,Dee Gees,51,0.0016600000000000002,0.649,232747,0.8220000000000001,0.0707,0,0.43,-6.915,0,0.0531,123.402,0.794,-1
New Normal,Khalid,68,0.08070000000000001,0.39,198765,0.534,0.0,0,0.184,-9.575,1,0.0709,92.047,0.244,-1
Wat U Sed,Isaiah Rashad,62,0.101,0.838,176683,0.634,0.13,11,0.14300000000000002,-7.018,1,0.258,163.0,0.526,-1
Crushed Velvet,Yves Tumor,48,0.00657,0.59,197493,0.852,0.0020900000000000003,2,0.23800000000000002,-5.992,1,0.0392,120.047,0.429,1
Pyrex Picasso,Benny the Butcher,41,0.027700000000000002,0.639,223014,0.8280000000000001,0.0,4,0.267,-6.763,0,0.199,81.806,0.772,1
Perpetual Flame of Centralia,Lingua Ignota,31,0.917,0.265,334525,0.0747,0.725,1,0.117,-20.532,1,0.0385,70.17,0.0649,1
